,ADJ,ADV,ADV-KS,ART,CUR,IN,KC,KS,N,NPROP,NUM,PCP,PDEN,PREP,PREP+ADV,PREP+ART,PREP+PRO-KS,PREP+PROADJ,PREP+PROPESS,PREP+PROSUB,PRO-KS,PROADJ,PROPESS,PROSUB,PU,V
ADJ,8213,31,0,0,0,7,0,1,188,28,5,58,2,8,0,0,0,0,0,0,0,8,0,0,0,5
ADV,17,4924,11,1,0,3,75,32,55,1,1,1,121,134,0,7,0,1,0,0,1,36,0,24,0,1
ADV-KS,0,4,195,0,0,0,0,16,0,0,0,0,0,8,0,0,1,0,0,0,5,1,0,0,0,0
ART,0,1,0,12494,0,0,0,0,0,4,20,0,0,45,0,0,0,0,0,0,2,0,1,13,0,0
CUR,0,0,0,0,0,0,0,0,289,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,2,9,0,1,0,71,1,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3
KC,0,22,0,0,0,0,4460,13,2,10,0,0,12,3,0,1,0,0,0,0,0,5,0,0,0,3
KS,0,11,22,0,0,0,7,2324,3,0,0,0,37,41,0,0,0,0,0,2,63,4,12,7,0,5
N,212,85,0,4,0,18,2,3,34364,266,1106,44,1,60,0,2,0,0,0,0,0,11,0,3,318,43
NPROP,24,5,0,8,0,8,4,2,325,15427,12,1,0,46,0,45,0,0,0,0,0,1,3,4,9,12
NUM,1,0,0,55,0,0,0,0,51,3,2427,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
PCP,42,5,0,0,0,0,0,0,55,2,0,3533,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PDEN,0,29,0,0,0,2,16,7,2,0,0,0,1006,19,0,0,0,0,0,0,3,0,0,0,0,8
PREP,4,56,1,36,0,2,0,14,22,28,1,0,12,16580,1,7,0,0,0,0,0,5,1,2,0,6
PREP+ADV,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0
PREP+ART,0,20,0,0,0,2,0,2,0,19,0,0,0,32,0,10133,3,0,0,8,0,0,0,0,0,0
PREP+PRO-KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,4,0,0,0,0,0,0
PREP+PROADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,2,0,0,0,0,0,0
PREP+PROPESS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,123,0,0,0,0,0,0,0
PREP+PROSUB,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,1,0,0,137,0,0,0,0,0,0
PRO-KS,0,0,0,0,0,0,0,49,0,0,0,0,3,0,0,0,0,0,0,0,2103,1,0,39,0,0
PROADJ,21,21,0,2,0,6,0,6,1,2,0,0,5,2,0,0,0,0,0,0,4,3333,0,16,0,0
PROPESS,0,0,0,21,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2573,1,220,51
PROSUB,1,20,0,11,0,5,0,0,10,0,3,0,1,1,0,0,0,0,0,0,72,24,1,1418,0,0
PU,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26900,0
V,8,3,0,0,0,6,0,0,43,12,0,5,21,3,0,0,0,0,0,0,1,0,0,1,0,19608
